model,overall_RMSE,overall_MAE,overall_R²,overall_Spearman ρ,pains_pos_RMSE,pains_pos_MAE,pains_pos_R²,pains_pos_Spearman ρ,pains_neg_RMSE,pains_neg_MAE,pains_neg_R²,pains_neg_Spearman ρ,delta_rmse,fp_ratio,pos_n,neg_n,train_time_s,data_size
MLP-DTA,1.0640100240707395,0.8176727294921875,0.4024329716805397,0.6537631462102476,0.8400022387504578,0.6263391971588135,0.5448777342715345,0.7512212558831359,1.1083914041519165,0.8609241247177124,0.3417648519017409,0.6054205163769704,-0.2683891654014587,0.7275196174680167,4663,20628,51.39755296707153,
GCN-DTA,1.1280255317687988,0.8938630223274231,0.3283654355823469,0.5726955915272267,0.9704210758209229,0.7549192309379578,0.3925820278925198,0.6321167538409976,1.1606905460357666,0.9252715706825256,0.2781821307241191,0.521994719367647,-0.1902694702148437,0.815889352595367,4663,20628,1381.5852947235107,101161.0
GAT-DTA,1.122435450553894,0.8877959847450256,0.335005670615884,0.5802963417692983,0.9558597207069396,0.7431131601333618,0.4106741182113838,0.6437079060225854,1.156770944595337,0.920501708984375,0.2830489334148863,0.5289766254356851,-0.2009112238883972,0.8072914420553904,4663,20628,1425.615131855011,101161.0
AttFP-DTA,1.0826828479766846,0.8547654747962952,0.3812748853153349,0.6159348121434705,0.9017646312713624,0.7021564245223999,0.4754902140844175,0.6810784840591219,1.1195355653762815,0.8892630934715271,0.3284619773560512,0.5653084725066134,-0.2177709341049194,0.7895935654828188,4663,20628,1500.5105295181274,101161.0
GIN-DTA,1.0975974798202517,0.8678202629089355,0.36411090707573,0.605327477146916,0.9358925819396972,0.7275660634040833,0.4350380440594886,0.6578153635869408,1.130951762199402,0.8995249271392822,0.3146966135513804,0.5578415442097576,-0.1950591802597046,0.808833678050025,4663,20628,1378.3487496376038,101161.0
GINE-DTA,1.1144232749938965,0.8824177980422974,0.3444655124489945,0.584260500814622,0.9602567553520204,0.7469114661216736,0.4052397923978744,0.6379976167108461,1.1464035511016846,0.9130492806434632,0.2958424998759023,0.5350911696118043,-0.1861467957496643,0.8180406838663601,4663,20628,1350.5655014514923,101161.0
PNA-DTA,1.0981606245040894,0.8677512407302856,0.3634581524169331,0.6009881215934316,0.9203091263771056,0.7120755314826965,0.4536956370285023,0.671865143461107,1.1345072984695437,0.9029421210289,0.3103808206891091,0.5495668788769231,-0.2141981720924377,0.7886170187576566,4663,20628,1549.055477142334,101161.0
GT-DTA,1.1138790845870972,0.8816161155700684,0.3451054707965941,0.5843410599947041,0.950413703918457,0.737581193447113,0.4173703778209855,0.6468990380843663,1.147608757019043,0.9141755700111388,0.2943611420632336,0.5328268287112485,-0.1971950531005859,0.8068266201533472,4663,20628,1403.4001393318176,101161.0
GPS-DTA,1.1378306150436401,0.9023177027702332,0.3166386014450563,0.5701682515192819,0.969112753868103,0.7565343379974365,0.39421883309219763,0.6276900745268358,1.1726104021072388,0.9352724552154541,0.2632802806924216,0.519530018118806,-0.20349764823913574,0.8088919177398828,4663,20628,2027.2925016880035,101161.0
SAGE-DTA,1.117116093635559,0.8828514218330383,0.34129366242895043,0.5854782907146862,0.9471487402915955,0.7353367209434509,0.4213665575637713,0.6473074266469006,1.1520678997039795,0.9161974191665649,0.2888668191901417,0.5344079677654318,-0.20491915941238403,0.8025963591846823,4663,20628,1314.5202097892761,101161.0
GATv2-DTA,1.113003134727478,0.8794833421707153,0.34613524583873256,0.5891635209445605,0.9357218146324158,0.7275484800338745,0.4352441931972546,0.656705395979731,1.1492946147918701,0.9138286113739014,0.292286495922207,0.5367678070386829,-0.21357280015945435,0.796154183636793,4663,20628,1434.6225306987762,101161.0
GEN-DTA,1.0793734788894653,0.8494447469711304,0.3850515270443299,0.6199767546667923,0.8834338188171387,0.6818897724151611,0.49659767222465934,0.6983807713363993,1.1189212799072266,0.8873207569122314,0.32919871878634044,0.5683377016449032,-0.2354874610900879,0.7684817011418033,4663,20628,1385.8644046783447,101161.0
