model,overall_RMSE,overall_MAE,overall_R²,overall_Spearman ρ,pains_pos_RMSE,pains_pos_MAE,pains_pos_R²,pains_pos_Spearman ρ,pains_neg_RMSE,pains_neg_MAE,pains_neg_R²,pains_neg_Spearman ρ,delta_rmse,fp_ratio,pos_n,neg_n,train_time_s
MLP,1.044105738703873,0.7928902506828308,0.4327371120452881,0.6694242709401793,0.810231636976273,0.595212996006012,0.5016554594039917,0.7017529077908133,1.1296115242932148,0.8776100277900696,0.3693277835845947,0.6186920162651908,-0.3193798873169418,0.6782203602693877,13774.0,32139.0,1031.0601563453674
GCN,1.218613983780655,0.9772038459777832,0.2272700667381286,0.4794268051059407,1.0220429915252485,0.8020407557487488,0.2070429921150207,0.425056258640111,1.2937486952623063,1.052274465560913,0.172733724117279,0.4143471214726298,-0.2717057037370578,0.7621972920337371,13774.0,32139.0,3085.55987906456
GAT,1.1962832330055668,0.954507291316986,0.255330741405487,0.5091724541793615,0.9843530198322618,0.7643669843673706,0.2644485235214233,0.4887149021929619,1.27638423239922,1.035996675491333,0.1947914958000183,0.441213017411592,-0.2920312125669583,0.7378083299608831,13774.0,32139.0,4013.927067995072
AttentiveFP,1.1056189013841802,0.8630656003952026,0.363927960395813,0.6036295154997259,0.8667226009169875,0.6494802832603455,0.4297417402267456,0.6310106622182448,1.1934538708623057,0.9546030163764954,0.296025812625885,0.5375251154579751,-0.326731269945318,0.6803668805929287,13774.0,32139.0,4343.209543943405
GIN,1.1166,,,,0.8907,,,,1.2005,,,,-0.3098,0.6979,,,1414.1
GINE,1.1724202632904053,0.9342450499534608,0.2847431887383339,0.5335058947414689,0.9525191187858582,0.7315512299537659,0.3112546211482854,0.526901175332229,1.2549233436584473,1.0211148262023926,0.221641171947898,0.465209360515073,-0.3024042248725891,0.7164240534144654,13774.0,32139.0,450.2151982784271
PNA,1.1364227533340454,0.8954113125801086,0.3279908485027982,0.5715172325481059,0.9068734645843506,0.6915300488471985,0.375683657069089,0.5738550654073574,1.221668720245361,0.9827899932861328,0.262346580029473,0.5049701286618423,-0.3147952556610107,0.7036396855227922,13774.0,32139.0,750.9812393188477
GraphTransformer,1.2000038623809814,0.9464328289031982,0.2506914109838466,0.522023456776317,0.986142873764038,0.748206377029419,0.2617711961495335,0.4917323805237493,1.2807739973068235,1.0313879251480105,0.1892434357797128,0.4570114317375736,-0.2946311235427856,0.7254364255502436,13774.0,32139.0,506.8172969818115
GPS,1.2214388847351074,0.9792467355728148,0.2236833551531983,0.4783054756751155,1.040364384651184,0.8147097826004028,0.1783586641740087,0.3937403662598889,1.291293382644653,1.049763321876526,0.1758709243291962,0.4181915189920847,-0.2509289979934692,0.7760890077423944,13774.0,32139.0,3933.765863418579
SAGE,1.2126030921936035,0.9731530547142028,0.2348744281432789,0.4920740110706301,1.0188994407653809,0.7973629236221313,0.21191337416693,0.4331133702385519,1.2867238521575928,1.048492431640625,0.1816932776058308,0.427745714209957,-0.2678244113922119,0.7604851422433341,13774.0,32139.0,1721.6556272506714
GATv2,1.1846458911895752,0.944811224937439,0.2697484493614283,0.5230097982921041,0.9784674644470216,0.7556360363960266,0.2732181499613508,0.4960645816534609,1.2627451419830322,1.0258870124816897,0.2119081355326501,0.4572761891714371,-0.2842776775360107,0.7365684718070538,13774.0,32139.0,600.972071647644
GEN,1.123565435409546,0.881497859954834,0.3431108814937782,0.5856805776459867,0.8997171521186829,0.6818169951438904,0.3854979265648909,0.5900471534789142,1.2068573236465454,0.9670762419700624,0.2801246687204164,0.5252787295257209,-0.3071401715278625,0.7050291988402558,13774.0,32139.0,430.0755670070648
KA-GCN,1.3863390684127808,1.151633858680725,-7.899165156532995e-05,-0.0089993636865273,1.2572801113128662,1.0668740272521973,-0.199983890852192,-0.0109396049624294,1.4381093978881836,1.1879597902297974,-0.0221844779356314,-0.00452886206944,-0.1808292865753173,0.8980724996298887,13774.0,32139.0,726.0509605407715
KA-GAT,1.2110888957977295,0.9718116521835327,0.23678400682962664,0.4903667249414077,1.0174803733825684,0.7984280586242676,0.21410702306302054,0.41359237676806593,1.2851669788360596,1.0461198091506958,0.18367230856127426,0.4300806542410351,-0.2676866054534912,0.7632281159461068,13774.0,32139.0,558.194851398468
